Age,Gender,Income,Credit Score,Loan Amount,Years at Current Job,Debt-to-Income Ratio,Assets Value,Number of Dependents,Risk Rating
27,Non-binary,80523,604,13043,15,0.112270249,201865,3,Low
64,Non-binary,117835,640,45787,19,0.41214393,,0,Medium
61,Non-binary,,604,29783,13,0.410342991,,3,High
67,Female,,750,46529,19,0.448739802,290306,0,Low
32,Non-binary,91656,661,,1,0.515295615,,4,High
43,Non-binary,87687,791,16663,9,0.315225662,291278,,Medium
46,Female,81289,722,,13,0.248479439,103462,3,Low
56,Female,27807,681,,12,0.497042103,178108,0,Medium
35,Male,,711,15286,1,0.383451591,156329,,Low
37,Female,20987,640,8042,12,0.442812684,55772,3,Low
24,Non-binary,61876,791,7070,0,0.114673538,131369,2,Low
31,Female,108454,716,33552,8,0.588002314,24976,,High
25,Male,,753,,7,0.104689105,101481,2,Low
18,Female,87346,,26863,11,0.556599054,164061,3,Low
26,Male,28583,611,29949,19,0.200143793,139629,3,Medium
43,Female,,705,12071,8,0.119108756,85658,,Low
53,Female,31340,790,6687,4,0.195110048,,2,Low
41,Male,50737,624,,4,0.538422931,261675,,Medium
61,Non-binary,88056,684,9746,15,0.361356668,48339,,Low
25,Male,115287,,9520,3,0.39251234,69459,3,Low
21,Male,39330,769,27489,14,0.454610825,284455,3,Low
52,Non-binary,111594,715,9174,4,0.100815126,137074,2,Low
27,Female,102789,742,10729,17,0.271307607,269293,0,Medium
34,Non-binary,,793,21504,12,0.435937741,179496,2,Low
18,Non-binary,27313,786,24399,10,0.15104681,284643,4,Low
46,Male,87228,602,,7,0.555169433,182601,4,Low
63,Female,101844,688,9667,1,0.251662122,61882,,Low
32,Male,102949,637,38759,18,0.351584417,,0,Low
47,Non-binary,28673,699,19540,19,0.408040672,255563,0,Medium
22,Female,35973,663,19492,2,0.432494288,82006,3,Medium
41,Male,62011,747,15722,3,0.176553915,259195,2,Medium
65,Female,,618,27165,4,0.242235447,219776,2,Low
36,Non-binary,42942,,5346,7,0.13836783,146854,4,Low
43,Non-binary,111205,736,,4,0.273947007,,3,Low
54,Male,114486,704,32353,7,0.400318279,222630,1,Low
34,Female,42064,760,39482,0,0.201900219,243318,0,Low
60,Female,80883,699,46731,12,0.561233428,200074,3,Medium
43,Female,31231,712,48935,8,0.10750652,277314,2,Medium
47,Male,85651,799,17157,2,0.541920866,200136,3,Medium
48,Male,91982,602,33381,7,0.523766671,,,Low
45,Male,85839,686,29177,11,0.260055213,114053,0,Low
20,Non-binary,109590,625,41449,16,0.519828253,114922,1,Low
43,Non-binary,68960,675,25542,10,0.436279996,60758,,Medium
47,Non-binary,58217,658,15328,11,0.525407258,169695,0,Medium
47,Male,105237,,14212,2,0.302355198,265480,4,Low
52,Non-binary,80656,710,46162,0,0.578239275,,1,Medium
49,Non-binary,105916,750,6324,17,0.269984459,89195,2,High
35,Non-binary,111627,630,39992,14,0.394882648,200110,1,Medium
33,Male,50374,,,18,0.431651113,176978,2,Medium
50,Female,29879,,34733,13,0.355564145,133149,0,Low
42,Male,,,10737,1,0.41629395,202129,3,Medium
62,Non-binary,74850,650,17324,14,0.191276675,151244,0,Low
56,Male,62530,754,,0,0.259699331,248213,3,Medium
40,Male,90179,693,32825,5,0.584147345,129600,3,Low
53,Non-binary,117507,685,45544,11,0.375782652,228273,0,Low
31,Male,34002,738,23618,6,0.17305568,269695,3,Low
33,Non-binary,74333,693,47328,5,0.522094083,111726,,Low
58,Male,109067,790,35949,14,0.398211352,206088,,Medium
47,Female,54022,775,9445,12,0.244654442,177570,1,Low
24,Non-binary,67278,742,13704,2,0.499235055,171149,,Medium
48,Male,37540,673,34317,7,0.505902726,32715,4,Medium
24,Female,,698,48874,11,0.246152951,45045,0,Medium
33,Non-binary,71171,642,,17,0.4438352,152710,3,High
55,Non-binary,98283,650,42997,17,0.486638679,178174,4,Low
65,Male,27826,736,43125,18,0.253161468,118770,0,Medium
37,Male,96730,,28500,19,0.142385514,281303,2,Medium
38,Female,84934,720,,6,0.477975951,116141,2,Low
54,Non-binary,62296,744,23778,1,0.203052807,173854,0,High
37,Female,111551,632,10074,6,0.58737792,66221,,Medium
52,Male,47260,608,23857,6,0.346898528,,1,Low
33,Male,65538,646,,12,0.588080576,35469,3,Low
50,Female,100352,621,,18,0.44425245,171041,1,Medium
30,Female,113925,611,48919,19,0.470940166,28459,,Low
25,Male,81971,646,48870,18,0.377456979,,4,High
42,Female,47774,,,0,0.509441806,275648,,High
30,Non-binary,114499,779,40584,6,0.284052614,76919,3,Low
19,Female,83471,793,8810,14,0.511546796,145761,4,Low
46,Non-binary,56080,702,,13,0.227039443,57488,0,Low
44,Non-binary,21320,733,34540,4,0.336044823,,3,Low
54,Female,54560,760,30826,11,0.568217248,21537,,Low
19,Female,115381,727,40970,14,0.451811592,291530,1,Low
40,Non-binary,75122,,33345,16,0.321867162,,4,Medium
43,Male,81683,693,10316,2,0.351319135,28304,3,Low
67,Male,104661,771,8751,7,0.508536076,100251,0,Medium
51,Non-binary,72299,676,37088,3,0.546674527,163332,,Medium
34,Non-binary,78630,695,48757,12,0.430250038,,2,Low
19,Male,106009,681,22351,2,0.587210053,162947,,Low
25,Non-binary,37330,797,28892,11,0.45114276,247877,3,Medium
59,Non-binary,,688,25432,15,0.540746534,275015,4,Medium
32,Female,99688,732,12429,8,0.430234003,267072,0,Medium
44,Female,,791,30191,13,0.174938787,263286,3,Low
28,Male,,690,29992,3,0.112988652,,1,Low
60,Male,114018,636,28620,1,0.261044262,38980,3,Medium
43,Female,88309,724,7848,10,0.253430491,103243,4,Low
51,Non-binary,62262,606,6667,4,0.545189542,268305,,Low
60,Female,35070,642,,6,0.561000552,294768,2,Medium
35,Female,39629,622,9537,2,0.524358189,48636,1,Low
69,Non-binary,98672,792,5228,1,0.484613572,,1,Low
59,Male,83094,,,6,0.185278819,268737,1,Low
42,Female,35203,726,34541,5,0.556476416,252977,0,Medium
29,Male,67940,618,31030,12,0.383985345,,1,Low
38,Male,,697,5209,15,0.446923387,,2,Low
66,Female,61291,639,7908,12,0.168999693,33810,1,Low
27,Female,42327,655,,0,0.437615532,90257,3,Medium
43,Male,100562,785,,14,0.193412716,155884,4,Low
46,Female,34284,775,26340,14,0.400353991,64156,4,Medium
33,Male,115066,799,31359,5,0.228569153,142354,,Low
43,Male,26441,,49939,1,0.415477428,169702,0,Low
28,Non-binary,98311,689,34763,8,0.388665461,216062,0,Low
67,Male,63148,660,16704,0,0.334344621,40643,0,Low
27,Non-binary,114436,775,39216,7,0.102012992,158498,,Low
28,Male,94693,718,20928,5,0.323849811,257028,2,Low
68,Non-binary,117284,716,44218,19,0.307246407,,0,High
48,Non-binary,,694,9370,8,0.35645066,,1,Medium
20,Female,102245,686,33967,4,0.192680772,116854,,Medium
27,Male,88173,746,14800,8,0.538712246,289092,0,Low
34,Non-binary,70807,745,39572,18,0.433975274,130451,3,Low
66,Non-binary,22944,668,44767,7,0.448401898,31159,0,Medium
53,Male,29475,725,,6,0.112003281,189327,4,Low
51,Male,102141,636,,5,0.493768432,161711,4,Medium
38,Female,99314,656,17158,8,0.123889568,162247,4,Low
48,Male,25465,671,36672,8,0.255003057,237546,4,Medium
40,Female,104766,688,35808,15,0.320768316,198067,1,High
66,Non-binary,94099,,41008,15,0.224805287,137990,1,Medium
25,Non-binary,95630,,47368,17,0.466649869,187156,,High
52,Male,89806,,28542,8,0.281239008,121092,3,Low
69,Female,118995,787,14398,15,0.488273727,148047,0,Medium
31,Non-binary,63322,773,8074,5,0.381467098,267802,3,High
58,Non-binary,100845,606,9288,19,0.107825326,,0,Medium
43,Female,34821,775,22889,18,0.11872158,278194,0,High
51,Female,23477,612,,8,0.293599287,,4,Medium
19,Male,33054,,,3,0.51107983,204538,0,Medium
66,Non-binary,,687,5387,13,0.139044029,,1,Low
18,Non-binary,99671,669,30460,18,0.433812231,25531,1,Medium
56,Male,73953,710,42364,1,0.555770849,152625,1,Medium
18,Non-binary,71500,734,44400,14,0.248104199,127985,4,Low
53,Female,88669,720,17468,6,0.575977216,199129,0,Low
39,Non-binary,98886,695,30101,17,0.441903682,200996,1,Low
33,Non-binary,46953,627,23284,7,0.233152718,192563,3,Medium
40,Male,,627,,14,0.483204835,24340,0,Medium
41,Female,89852,676,27422,9,0.486273411,205004,1,Low
62,Male,87384,606,7297,4,0.450293387,232491,3,Low
32,Female,78360,608,47644,1,0.112276192,271432,3,Low
24,Male,57488,777,26533,2,0.408146803,,3,Medium
58,Non-binary,64153,658,12202,12,0.179217424,186472,,Low
30,Non-binary,55059,756,7413,5,0.494801779,29295,4,Low
59,Female,77564,612,12357,1,0.453394498,111458,0,Medium
69,Male,,771,8974,1,0.188338371,,,Low
43,Female,104156,,30993,17,0.491105474,181828,,Low
54,Female,,642,22439,12,0.450881946,136141,2,Low
67,Male,,672,20203,1,0.294590006,182768,0,Low
66,Male,64764,600,25486,17,0.454795899,79556,1,Medium
32,Female,118580,636,13116,7,0.120713199,267284,3,Low
20,Female,41961,612,30866,11,0.300160555,294593,0,Low
35,Female,84766,622,20645,6,0.507552882,77868,3,Medium
47,Female,100664,725,12939,2,0.143515494,258171,,Low
36,Non-binary,44448,631,30975,18,0.194279933,130657,2,High
61,Male,26518,759,21161,18,0.323939058,135490,1,Low
65,Non-binary,,645,,14,0.569969758,118975,3,Medium
68,Female,113923,601,44653,1,0.270090609,263788,2,High
22,Male,107732,750,39235,19,0.295658091,62184,4,Medium
59,Female,117869,745,,8,0.550514099,,1,Low
47,Male,36967,783,36845,11,0.434924574,,2,Medium
29,Female,58785,644,19414,3,0.210365536,71979,,Low
28,Male,83969,671,44332,16,0.45700939,88597,0,Low
66,Non-binary,111109,664,16734,0,0.201180173,246188,0,High
49,Non-binary,24507,676,,5,0.561908292,131303,2,Low
36,Female,52548,766,8458,11,0.240513252,62171,1,Low
40,Non-binary,48287,610,25909,10,0.226010987,119245,1,Low
45,Female,,798,43226,4,0.506575896,251522,0,Low
64,Male,93471,784,23013,8,0.211859021,171215,2,Low
56,Non-binary,36600,724,26718,17,0.179215904,34116,4,Low
37,Female,117778,,27540,14,0.478087887,254284,,Medium
55,Male,91114,,,12,0.280709107,235918,0,High
58,Male,24383,697,40312,15,0.59818354,,3,Low
46,Male,37986,741,5217,11,0.24326904,24766,4,Medium
66,Male,100520,722,23612,12,0.311233278,188023,0,Low
27,Female,55423,785,10956,7,0.3365854,73141,4,Medium
68,Non-binary,107151,754,39626,13,0.302066201,147103,1,Low
54,Male,23794,754,42272,5,0.534887509,273159,4,High
25,Male,107852,729,31976,13,0.269008414,35531,2,Medium
21,Female,38047,752,40762,4,0.34395259,233376,,Low
67,Female,,679,5317,12,0.35200248,202102,4,Medium
50,Female,43324,725,16412,0,0.305512596,201283,,Low
44,Non-binary,,794,36521,2,0.418625725,122318,2,Low
22,Female,64649,,38312,0,0.459164232,114375,0,Medium
39,Male,20530,,26736,11,0.240660934,137469,4,Medium
63,Male,117980,750,34913,14,0.31971399,79180,4,Medium
19,Male,105783,649,34842,14,0.17893033,169091,4,High
54,Non-binary,108291,708,,2,0.269836565,155916,2,Medium
66,Male,79893,641,8341,5,0.18669614,213287,4,Medium
66,Non-binary,21299,621,14131,17,0.495208685,272640,2,Low
45,Non-binary,37829,618,29082,1,0.156127674,44527,,Low
20,Male,,643,47450,1,0.557894575,121853,2,Low
65,Male,82713,658,15995,2,0.333555884,77072,2,Low
59,Male,37373,743,12455,9,0.303733068,166261,2,Low
51,Male,53921,787,36488,3,0.551111406,,4,Medium
48,Non-binary,,647,49953,15,0.17412671,147097,2,Medium
47,Male,52577,625,33975,7,0.257840383,190682,2,Low
38,Non-binary,52903,736,37009,19,0.472939031,291166,2,Medium
42,Male,91859,604,35264,0,0.109758532,,2,Medium
39,Female,36489,609,7961,9,0.591416431,181869,2,Low
41,Female,,,13475,4,0.53410713,,1,Medium
26,Female,77589,,10887,14,0.412694907,41745,2,Low
44,Male,102757,,19965,7,0.567862751,81592,2,Medium
34,Male,104879,711,,8,0.488924258,271964,0,Medium
53,Male,32328,688,24731,15,0.588001653,294239,1,Low
34,Male,119430,690,14595,1,0.22720463,,0,Low
23,Male,83853,712,11358,7,0.587184535,166988,3,Low
47,Male,,616,,14,0.321816219,208969,3,Low
25,Non-binary,33727,622,33180,6,0.354035688,233379,,Low
41,Non-binary,56660,671,46052,8,0.172078055,87601,1,Low
66,Male,111951,706,12827,19,0.204279665,,2,Low
66,Female,88993,705,36158,16,0.16903071,157492,,Low
23,Male,,701,7697,7,0.127195429,,4,Low
38,Non-binary,104614,648,40992,2,0.321351019,166986,3,High
32,Male,99211,631,44886,3,0.221320316,123213,1,High
57,Non-binary,,692,35771,1,0.576416967,149782,0,Low
58,Non-binary,82583,768,30366,9,0.576255603,119096,2,Low
51,Non-binary,98539,746,,18,0.255359594,173544,,Medium
18,Male,84162,606,5015,17,0.389069671,275773,1,Low
61,Female,25702,650,31654,15,0.161250745,149488,0,Low
21,Female,23582,736,19309,2,0.464172349,229415,4,Low
69,Female,49018,783,,7,0.404283373,295856,3,Medium
25,Non-binary,,638,20685,16,0.32688169,213838,3,Low
45,Female,33515,,7845,14,0.130864609,273937,0,Low
27,Male,114452,668,36683,2,0.382632935,191602,4,Low
67,Male,,,37439,17,0.468533694,36027,3,High
36,Male,35782,735,5371,10,0.406846919,172202,,Low
33,Male,22170,686,44357,18,0.341188468,87943,4,High
38,Male,54563,698,32788,19,0.111037568,240903,1,Medium
64,Female,25156,667,14519,6,0.585498385,,0,Medium
56,Non-binary,35299,625,24860,7,0.574404363,229939,3,Low
41,Non-binary,,700,28992,16,0.561611008,273625,1,Medium
57,Female,59015,774,36334,16,0.263724816,50529,3,Low
31,Male,31480,721,45906,10,0.568742283,107560,,Low
48,Non-binary,66815,662,44872,13,0.393501878,95401,2,Low
53,Male,101738,744,,16,0.443096626,288445,,Low
37,Non-binary,74337,630,17919,5,0.520813764,219321,4,Low
21,Non-binary,90687,782,,13,0.314761757,271803,,Low
57,Female,,788,5082,12,0.267405239,136453,0,Low
23,Non-binary,47684,742,42901,16,0.277608708,78032,4,Low
47,Male,111352,688,15044,3,0.290150955,283782,2,Low
48,Male,106151,626,34164,10,0.599709538,22135,0,Low
48,Male,,630,,13,0.341781193,247734,2,Low
18,Male,,620,,13,0.358132595,,1,Medium
24,Female,102488,643,19631,9,0.269315748,210453,,Low
24,Male,94667,768,26118,13,0.426268032,104282,1,Low
49,Female,49870,625,29285,7,0.110209775,187903,2,Low
63,Female,113526,621,32419,10,0.578291338,86539,,Low
39,Non-binary,117031,650,5301,15,0.510807685,157142,0,Low
54,Female,74240,633,11854,5,0.351534961,76783,1,Low
58,Non-binary,30352,722,45519,10,0.585703827,,,Medium
39,Non-binary,,669,13763,10,0.263591104,274678,4,Low
39,Female,81517,711,32838,19,0.437870492,148754,4,Low
61,Non-binary,116794,703,,11,0.581183936,,1,Medium
35,Non-binary,108586,625,41978,2,0.478343891,182403,,Medium
45,Male,,,39662,7,0.145914007,224294,1,High
23,Non-binary,34319,640,35058,18,0.406965843,37907,2,Low
48,Female,,655,,9,0.597531006,34815,1,High
49,Non-binary,75452,673,21742,0,0.387086853,,0,Medium
22,Female,116111,754,,17,0.125178128,150725,3,Low
55,Non-binary,38638,696,13632,19,0.509251679,143434,4,Medium
54,Male,60753,778,25200,12,0.27287163,219389,2,High
59,Female,82813,689,,4,0.50402506,22676,0,Low
35,Non-binary,56734,761,46826,15,0.387846098,238379,1,Low
21,Female,58918,618,22165,0,0.381804389,222403,3,Medium
46,Non-binary,82670,,46613,1,0.534612778,104191,1,Low
51,Female,47685,718,23891,0,0.201201682,112966,4,Low
19,Non-binary,,626,41316,0,0.103289409,244728,3,Medium
32,Male,118835,722,11982,5,0.37965399,209403,1,Medium
35,Female,62362,,16305,18,0.125639534,,4,Low
37,Male,31217,,27253,3,0.368675845,292887,1,Low
31,Non-binary,57304,600,,7,0.215709233,178124,2,Low
50,Male,118759,,26341,2,0.341140296,,1,Low
36,Male,118962,712,30328,0,0.373723736,269560,4,Medium
42,Non-binary,37540,672,6724,16,0.106682376,217834,0,Low
20,Non-binary,103984,611,5350,4,0.591137633,203201,1,Low
49,Non-binary,41966,618,35534,6,0.27213229,151975,,Low
63,Non-binary,24435,696,49852,12,0.374582186,173878,1,Low
67,Non-binary,27131,605,9171,14,0.492692486,274572,1,Medium
31,Female,105924,738,41443,15,0.208205649,243582,1,Low
68,Female,63130,705,25293,7,0.193760999,30506,2,Low
41,Non-binary,63809,,14877,1,0.579156717,118514,,Medium
68,Male,52959,790,7678,13,0.395187161,,4,Low
64,Male,49367,772,12840,11,0.461116857,249394,0,Medium
50,Non-binary,,749,25968,8,0.154222963,249657,,High
52,Male,,759,48791,0,0.101661445,71804,1,Low
21,Male,80200,796,47587,17,0.280799725,129205,3,Low
56,Non-binary,,,26852,16,0.13452813,140920,0,Low
45,Non-binary,119576,755,,3,0.135680818,,4,Medium
44,Male,107988,761,48101,10,0.115234753,293530,3,Low
39,Male,82457,626,49079,5,0.182391583,,4,Low
54,Male,60566,634,,4,0.239062464,41499,4,Medium
32,Female,22919,662,37477,11,0.259245786,114916,4,Low
47,Male,70603,,6308,10,0.135443113,23387,3,Medium
53,Non-binary,24799,692,24866,12,0.213848632,,1,Low
49,Female,107278,621,,18,0.194809618,238632,2,Low
59,Male,78397,770,23197,6,0.309220756,,3,Low
62,Non-binary,,,44225,7,0.17846073,279623,0,High
69,Female,89529,636,11861,2,0.278411856,214415,0,High
60,Non-binary,20863,,41158,16,0.276733514,57096,1,Low
27,Non-binary,75268,,42339,6,0.278030432,283128,1,Low
18,Male,80378,639,31920,11,0.124848541,214743,3,Medium
20,Male,39796,652,15487,5,0.339273344,,0,Low
53,Male,115637,759,38288,18,0.460293038,80877,0,Medium
30,Male,,640,37222,19,0.163980298,179819,4,High
51,Non-binary,38910,777,21601,7,0.307022193,72799,,Low
